date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:32	705/705	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202023%2015:03:22%20GMT	https://vetra.laborasyon.com/robots.txt		(from )
22:03:32	90322/90322	---M-Z	200	added ('OK')	text/html	etag:%22160d2-60c5f024-41c04a6;gz%22	https://vetra.laborasyon.com/demos/default/	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/demos/default/index.html	(from )
22:03:32	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-60c4dcc8-41c07ee;;;%22	https://vetra.laborasyon.com/assets/images/favicon.png	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/assets/images/favicon.png	(from https://vetra.laborasyon.com/demos/default/)
22:03:33	55640/55640	---M-Z	200	added ('OK')	text/css	etag:%22d958-60561898-41c0b7f;gz%22	https://vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/dist/icons/bootstrap-icons-1.4.0/bootstrap-icons.min.css	(from https://vetra.laborasyon.com/demos/default/)
22:03:34	30048/30048	---M-Z	200	added ('OK')	text/css	etag:%227560-60c72a52-41c0845;gz%22	https://vetra.laborasyon.com/dist/css/bootstrap-docs.css	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/dist/css/bootstrap-docs.css	(from https://vetra.laborasyon.com/demos/default/)
22:03:34	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-59d34108-41c01ac;gz%22	https://vetra.laborasyon.com/libs/slick/slick.css	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/libs/slick/slick.css	(from https://vetra.laborasyon.com/demos/default/)
22:03:35	270608/270608	---M-Z	200	added ('OK')	text/css	etag:%2242110-60c72a52-41c0846;gz%22	https://vetra.laborasyon.com/dist/css/app.min.css	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/dist/css/app.min.css	(from https://vetra.laborasyon.com/demos/default/)
22:03:35	90322/90322	---M-Z	200	added ('OK')	text/html	etag:%22160d2-60c5f024-41c04a6;gz%22	https://vetra.laborasyon.com/demos/default/index.html	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/demos/default/index-2.html	(from https://vetra.laborasyon.com/demos/default/)
22:03:35	5164/5164	---M--	200	added ('OK')	image/jpeg	etag:%22142c-604fe2c4-41c07f5;;;%22	https://vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/assets/images/user/man_avatar3.jpg	(from https://vetra.laborasyon.com/demos/default/)
22:03:35	4794/4794	---M-Z	200	added ('OK')	text/html	etag:%2212ba-60c5f028-41c0467;gz%22	https://vetra.laborasyon.com/demos/default/login.html	C:/My%20Web%20Sites/aaaaaa/vetra.laborasyon.com/demos/default/login.html	(from https://vetra.laborasyon.com/demos/default/)
